# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
affinity.incompatible	Livello compatibilità: incompatibile	Incompatibile	Incompatible	Incompatible	Incompatible	Unvereinbar
affinity.selectSpecialist	Placeholder select specialista	Seleziona specialista…	Select specialist…	Sélectionner un spécialiste…	Seleccionar especialista…	Spezialist auswählen…
backup.autoKeep	Etichetta max numero backup automatici	Max backup automatici	Max automatic backups	Max sauvegardes automatiques	Máx. copias automáticas	Max. automatische Backups
backup.autoRetentionDays	Etichetta conservazione backup automatici	Conservazione automatici	Automatic backups retention	Conservation des sauvegardes automatiques	Retención de copias automáticas	Aufbewahrung automatischer Backups
backup.days	Suffisso giorni (impostazioni backup)	giorni	days	jours	días	Tage
backup.delete	Tooltip elimina singolo backup	Elimina questo backup	Delete this backup	Supprimer cette sauvegarde	Eliminar esta copia de seguridad	Dieses Backup löschen
backup.deleteConfirm	Pulsante conferma eliminazione backup	Elimina	Delete	Supprimer	Eliminar	Löschen
backup.deleteMsg	Messaggio conferma eliminazione backup	Eliminare definitivamente questo backup?	Permanently delete this backup?	Supprimer définitivement cette sauvegarde ?	¿Eliminar definitivamente esta copia de seguridad?	Dieses Backup endgültig löschen?
backup.deleteTitle	Titolo modale elimina backup	Elimina backup	Delete backup	Supprimer la sauvegarde	Eliminar copia de seguridad	Backup löschen
backup.download	Tooltip download backup	Scarica il backup	Download the backup	Télécharger la sauvegarde	Descargar la copia	Sicherung herunterladen
backup.empty	Messaggio nessun backup presente	Nessun backup ancora: il primo verrà creato automaticamente.	No backups yet: the first one will be created automatically.	Aucune sauvegarde pour l'instant : la première sera créée automatiquement.	Aún no hay copias: la primera se creará automáticamente.	Noch keine Sicherungen: die erste wird automatisch erstellt.
backup.file	Intestazione colonna nome file backup	File	File	Fichier	Archivo	Datei
backup.files	Suffisso file (impostazioni backup)	file	files	fichiers	archivos	Dateien
backup.hint	Suggerimento sezione Backup	Il backup automatico gira ogni 30 minuti (solo se ci sono modifiche) e prima delle operazioni che sovrascrivono i turni. Il ripristino salva prima lo stato corrente, quindi è reversibile.	Automatic backup runs every 30 minutes (only when there are changes) and before operations that overwrite shifts. Restoring saves the current state first, so it is reversible.	La sauvegarde automatique s'exécute toutes les 30 minutes (uniquement en cas de modifications) et avant les opérations qui écrasent les créneaux. La restauration enregistre d'abord l'état actuel, elle est donc réversible.	La copia automática se ejecuta cada 30 minutos (solo si hay cambios) y antes de las operaciones que sobrescriben turnos. La restauración guarda antes el estado actual, por lo que es reversible.	Die automatische Sicherung läuft alle 30 Minuten (nur bei Änderungen) und vor Vorgängen, die Schichten überschreiben. Die Wiederherstellung speichert zuerst den aktuellen Zustand und ist daher umkehrbar.
backup.intervalMinutes	Etichetta intervallo backup automatico	Intervallo automatico	Automatic interval	Intervalle automatique	Intervalo automático	Automatisches Intervall
